127.0.0.1 - - [07/Aug/2024:12:25:18 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Aug/2024:12:25:18 +0900] "GET /HTML5/html/exam05-Checkbox.html HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [07/Aug/2024:12:29:11 +0900] "GET /HTML5/html/exam05-Checkbox.html HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [07/Aug/2024:12:29:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Aug/2024:12:29:34 +0900] "GET /HTML5/html/exam05-Checkbox.html HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [07/Aug/2024:12:31:06 +0900] "GET /HTML5/html/exam05-Checkbox.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2024:12:34:11 +0900] "GET /HTML5/html/exam05-Checkbox.html HTTP/1.1" 200 962
0:0:0:0:0:0:0:1 - - [07/Aug/2024:12:39:11 +0900] "GET /HTML5/html/exam05-Checkbox.html HTTP/1.1" 200 1019
0:0:0:0:0:0:0:1 - - [07/Aug/2024:12:39:26 +0900] "GET /HTML5/html/exam06-select.html HTTP/1.1" 200 527
0:0:0:0:0:0:0:1 - - [07/Aug/2024:12:42:09 +0900] "GET /HTML5/html/exam06-select.html HTTP/1.1" 200 996
0:0:0:0:0:0:0:1 - - [07/Aug/2024:12:43:49 +0900] "GET /HTML5/html/exam06-select.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2024:12:45:18 +0900] "GET /HTML5/html/exam06-select.html HTTP/1.1" 200 1016
0:0:0:0:0:0:0:1 - - [07/Aug/2024:13:40:59 +0900] "GET /HTML5/html/exam06-select.html HTTP/1.1" 200 2008
0:0:0:0:0:0:0:1 - - [07/Aug/2024:13:41:12 +0900] "GET /HTML5/html/exam06-select.html HTTP/1.1" 200 2008
0:0:0:0:0:0:0:1 - - [07/Aug/2024:13:41:22 +0900] "GET /HTML5/html/exam06-select.html HTTP/1.1" 200 2008
0:0:0:0:0:0:0:1 - - [07/Aug/2024:13:41:27 +0900] "GET /HTML5/html/exam06-select.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2024:13:41:32 +0900] "GET /HTML5/html/exam06-select.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2024:13:41:43 +0900] "GET /HTML5/html/exam05-Checkbox.html HTTP/1.1" 200 1605
0:0:0:0:0:0:0:1 - - [07/Aug/2024:13:42:25 +0900] "GET /HTML5/html/exam04-form.html HTTP/1.1" 200 4415
0:0:0:0:0:0:0:1 - - [07/Aug/2024:13:44:10 +0900] "GET /HTML5/html/exam06-select.html HTTP/1.1" 200 2015
0:0:0:0:0:0:0:1 - - [07/Aug/2024:13:57:09 +0900] "GET /HTML5/html/exam06-select.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2024:14:06:45 +0900] "GET /HTML5/html/exam07-dataList.html HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [07/Aug/2024:14:09:07 +0900] "GET /HTML5/html/exam07-dataList.html HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [07/Aug/2024:14:09:12 +0900] "GET /HTML5/html/exam07-dataList.html?Lecture=HTML HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [07/Aug/2024:14:09:16 +0900] "GET /HTML5/html/exam07-dataList.html?Lecture=JAVA HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [07/Aug/2024:14:09:21 +0900] "GET /HTML5/html/exam07-dataList.html?Lecture=JAVA HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2024:14:09:24 +0900] "GET /HTML5/html/exam07-dataList.html?Lecture=JAVA HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2024:14:09:25 +0900] "GET /HTML5/html/exam07-dataList.html?Lecture=JAVA HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2024:14:10:31 +0900] "GET /HTML5/html/exam07-dataList.html?Lecture=JAVA HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [07/Aug/2024:14:11:50 +0900] "GET /HTML5/html/exam07-dataList.html?Lecture=JAVA HTTP/1.1" 200 405
0:0:0:0:0:0:0:1 - - [07/Aug/2024:14:14:15 +0900] "GET /HTML5/html/exam07-dataList.html?Lecture=JAVA HTTP/1.1" 200 408
0:0:0:0:0:0:0:1 - - [07/Aug/2024:14:14:21 +0900] "GET /HTML5/html/exam07-dataList.html?Lecture=JAVA HTTP/1.1" 200 413
0:0:0:0:0:0:0:1 - - [07/Aug/2024:14:14:35 +0900] "GET /HTML5/html/exam07-dataList.html?Lecture=JAVA HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [07/Aug/2024:14:17:50 +0900] "GET /HTML5/html/exam07-dataList.html?Lecture=JAVA HTTP/1.1" 200 794
0:0:0:0:0:0:0:1 - - [07/Aug/2024:14:18:54 +0900] "GET /HTML5/html/exam08-file.html HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [07/Aug/2024:14:21:13 +0900] "GET /HTML5/html/exam08-file.html HTTP/1.1" 200 368
0:0:0:0:0:0:0:1 - - [07/Aug/2024:14:24:31 +0900] "GET /HTML5/html/exam09-form2.html HTTP/1.1" 200 126
