0:0:0:0:0:0:0:1 - - [12/Aug/2024:14:24:11 +0900] "GET /CSS/04_css/exam05_.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2024:14:24:35 +0900] "GET /CSS/04_css/exam05_.html HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [12/Aug/2024:14:25:45 +0900] "GET /CSS/04_css/exam05_.html HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [12/Aug/2024:14:26:32 +0900] "GET /CSS/04_css/exam05_.html HTTP/1.1" 200 531
0:0:0:0:0:0:0:1 - - [12/Aug/2024:14:26:32 +0900] "GET /CSS/image/spongebob.png HTTP/1.1" 200 61383
0:0:0:0:0:0:0:1 - - [12/Aug/2024:14:27:14 +0900] "GET /CSS/04_css/exam05_imageBack.html HTTP/1.1" 200 531
0:0:0:0:0:0:0:1 - - [12/Aug/2024:14:27:14 +0900] "GET /CSS/image/spongebob.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2024:14:27:33 +0900] "GET /CSS/04_css/exam05_imageBack.html HTTP/1.1" 200 562
0:0:0:0:0:0:0:1 - - [12/Aug/2024:14:28:01 +0900] "GET /CSS/04_css/exam05_imageBack.html HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [12/Aug/2024:14:28:01 +0900] "GET /CSS/image/spongebob.png HTTP/1.1" 304 -
