127.0.0.1 - - [20/Oct/2024:10:45:38 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Oct/2024:10:45:43 +0900] "GET /SpringHotel/ HTTP/1.1" 200 4578
0:0:0:0:0:0:0:1 - - [20/Oct/2024:10:45:43 +0900] "GET /SpringHotel/resources/image/1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2024:10:45:43 +0900] "GET /SpringHotel/resources/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2024:10:45:43 +0900] "GET /SpringHotel/resources/image/2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2024:10:45:43 +0900] "GET /SpringHotel/resources/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2024:10:45:43 +0900] "GET /SpringHotel/resources/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2024:10:45:43 +0900] "GET /SpringHotel/resources/css/footer.css HTTP/1.1" 200 960
0:0:0:0:0:0:0:1 - - [20/Oct/2024:10:45:43 +0900] "GET /SpringHotel/resources/image/3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2024:10:45:43 +0900] "GET /SpringHotel/resources/image/sh.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2024:10:45:43 +0900] "GET /SpringHotel/resources/js/header.js HTTP/1.1" 200 1060
0:0:0:0:0:0:0:1 - - [20/Oct/2024:10:45:43 +0900] "GET /SpringHotel/resources/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2024:10:45:43 +0900] "GET /SpringHotel/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Oct/2024:10:45:43 +0900] "GET /SpringHotel/resources/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Oct/2024:10:45:43 +0900] "GET /SpringHotel/resources/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Oct/2024:10:46:15 +0900] "GET /SpringHotel/room/roomView HTTP/1.1" 200 13348
0:0:0:0:0:0:0:1 - - [20/Oct/2024:10:46:15 +0900] "GET /SpringHotel/resources/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2024:10:46:15 +0900] "GET /SpringHotel/resources/css/room.css HTTP/1.1" 200 3218
0:0:0:0:0:0:0:1 - - [20/Oct/2024:10:46:15 +0900] "GET /SpringHotel/resources/js/header.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2024:10:46:18 +0900] "GET /SpringHotel/reserve/main HTTP/1.1" 200 5942
0:0:0:0:0:0:0:1 - - [20/Oct/2024:10:46:18 +0900] "GET /SpringHotel/resources/css/reserveCSS.css HTTP/1.1" 200 3207
0:0:0:0:0:0:0:1 - - [20/Oct/2024:10:46:18 +0900] "GET /SpringHotel/resources/image/night.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2024:10:46:18 +0900] "GET /SpringHotel/resources/js/reservation.js HTTP/1.1" 200 5290
0:0:0:0:0:0:0:1 - - [20/Oct/2024:10:46:22 +0900] "GET /SpringHotel/admin/inquiryList2 HTTP/1.1" 200 6187
0:0:0:0:0:0:0:1 - - [20/Oct/2024:10:46:22 +0900] "GET /SpringHotel/resources/css/inquiryCSS.css HTTP/1.1" 200 5223
0:0:0:0:0:0:0:1 - - [20/Oct/2024:10:46:22 +0900] "GET /SpringHotel/resources/css/adminCSS.css HTTP/1.1" 200 8434
0:0:0:0:0:0:0:1 - - [20/Oct/2024:10:46:22 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Oct/2024:10:46:26 +0900] "GET /SpringHotel/ HTTP/1.1" 200 4578
0:0:0:0:0:0:0:1 - - [20/Oct/2024:10:46:26 +0900] "GET /SpringHotel/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Oct/2024:10:46:26 +0900] "GET /SpringHotel/resources/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Oct/2024:10:46:26 +0900] "GET /SpringHotel/resources/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 721
